,SA Equity,SA Nominal Bonds,SA ILB,SA Property,SA Cash,Offshore Equity,Offshore Property,Offshore Bonds,,,,,,,,,
31-Jan-07,0.02172018329,0.006889926661,0.001789843472,0.08478685157,0.006945826533,0.05191149318,,0.0148412,,,,10000,0.5,0.25,0.1,0.1,0.05
28-Feb-07,0.01351241967,0.01367754349,-0.003276626754,0.03374872164,0.006395324213,-0.006123202601,0.003727069004,0.0259244,,,,,,,,,
31-Mar-07,0.03364179339,-0.004350026891,0.01148325572,0.03204235673,0.007159891143,0.02385279214,0.008252431258,-0.0006615,,,,,,,,,
30-Apr-07,0.0340854999,0.01531147228,0.01092323757,0.07789395204,0.007062749664,0.00911100849,-0.02953988947,-0.0190522,,,,,,,,,
31-May-07,-0.005539398366,-0.01103561048,0.002053900833,-0.03659360024,0.007335746495,0.04269896281,0.0189514158,-0.0092978,,,,x,y,,,,
30-Jun-07,-0.01882803771,-0.02056122086,-0.001238724708,-0.03393220397,0.007185117695,-0.0189738293,-0.08801151527,-0.0148804,,,,,,,,,
31-Jul-07,0.004140140336,0.003380343123,0.004107367441,0.01385497399,0.007630062216,-0.01427133292,-0.04361284072,0.0371097,,,,,,,,,
31-Aug-07,0.007467072381,0.006508482763,-0.007538978839,0.005881634291,0.007762769336,0.007342849761,0.03381383543,0.0261518,,,,,,,,,
30-Sep-07,0.02744170217,0.02339819725,0.01720091006,0.07327272096,0.00767988281,0.006595858249,0.01482237503,-0.0148345,,,,,,,,,
31-Oct-07,0.04725838877,0.01602106966,0.02272822403,0.04578301567,0.008068444023,-0.01887018351,-0.02595319672,-0.0363741,,,,,,,,,
30-Nov-07,-0.02608604124,-0.01550691696,0.02226615777,-0.03085532316,0.008001750796,-0.003577983299,-0.04405707394,0.0683191,,,,,,,,,
31-Dec-07,-0.01783222867,0.008582668245,0.007956512247,-0.01768937521,0.008473669637,-0.008784923675,-0.05238603778,0.0002997,,,,,,,,,
31-Jan-08,-0.04415936916,-0.005290923316,0.01484669875,-0.111912185,0.00873320208,0.01560604885,0.05073656101,0.1378899,,,,,,,,,
29-Feb-08,0.06228333906,-0.008340731742,0.01030785406,0.04461347181,0.008252397154,0.02993589381,0.01365746056,0.0609693,,,,,,,,,
31-Mar-08,-0.02253514674,-0.005257784584,0.02799298718,-0.03999509907,0.008929301854,0.03323277458,0.04111495065,0.0800992,,,,,,,,,
30-Apr-08,0.02058002327,-0.00740927877,0.003639609125,-0.06288402283,0.00874993412,-0.01730460585,-0.01189915896,-0.1012572,,,,,,,,,
31-May-08,0.006847717855,-0.02499463122,0.009911332661,-0.06072220709,0.009229665548,0.02452636158,-0.02053069545,-0.002957,,,,,,,,,
30-Jun-08,-0.04626258154,-0.01728603535,0.04628218194,-0.08712223212,0.009127835493,-0.05217859673,-0.09664727681,0.0295236,,,,,,,,,
31-Jul-08,0.003735244519,0.08506999929,-0.007796974937,0.1819110072,0.00964657982,-0.08738955773,-0.05931997985,-0.0650177,,,,,,,,,
31-Aug-08,0.01267075744,0.012821935,-0.02082043242,0.0765435417,0.009767427544,0.03636123232,0.02481674295,0.0311224,,,,,,,,,
30-Sep-08,-0.05322833361,0.0243372775,0.01521819118,-0.0326883638,0.009493442746,-0.05554997741,-0.03160637749,0.0646736,,,,,,,,,
31-Oct-08,-0.07332682724,-0.004535013623,0.031124694,-0.06576084953,0.009846070966,-0.03897529636,-0.14796073,0.1652762,,,,,,,,,
30-Nov-08,0.0236237212,0.04605674962,-0.008017012335,0.1069560927,0.009554528588,-0.03705725545,-0.1256878456,0.0596429,,,,,,,,,
31-Dec-08,0.04559267903,0.06929553727,0.007510725415,0.04879222747,0.009784259246,-0.02133319931,0.03628063472,-0.016144,,,,,,,,,
31-Jan-09,-0.03784589254,-0.02376497935,-0.004112967516,-0.01143935273,0.009571200176,-0.02456139893,-0.07426934029,0.0556504,,,,,,,,,
28-Feb-09,-0.06824562134,-0.02863422675,-0.004661012245,-0.02775150879,0.008383829999,-0.1113910134,-0.17823378,-0.0446336,,,,,,,,,
31-Mar-09,0.06377050884,0.0003631538515,0.03328659035,0.0260323636,0.008842790766,0.02304714007,0.01078901617,-0.0291344,,,,,,,,,
30-Apr-09,0.01804967015,0.009560743357,0.02434698287,0.04053984177,0.008073523919,-0.018959666,0.05689103815,-0.1083807,,,,,,,,,
31-May-09,0.05012157003,-0.00426660397,0.008490264049,-0.02983319253,0.007806506561,0.02576759258,0.05435209058,-0.0202168,,,,,,,,,
30-Jun-09,-0.008947024904,-0.002326477747,0.001030745006,-0.01809862041,0.007004005986,-0.03066155427,-0.03199196351,-0.0381176,,,,,,,,,
31-Jul-09,0.05910379389,0.01292291843,0.01192683999,0.07835431592,0.006842301392,0.09301520777,0.105695764,0.0330981,,,,,,,,,
31-Aug-09,0.03081375037,0.01567525221,-0.00378527684,0.01912471377,0.00660832598,0.04122929895,0.0716166877,0.0132889,,,,,,,,,
30-Sep-09,0.002656100131,0.0007848603152,0.006270921494,0.02050632911,0.006202069601,0.006061386657,0.01840554488,-0.0049011,,,,,,,,,
31-Oct-09,0.02577376347,-0.002166814276,0.001179124928,0.02052840486,0.006260300406,0.02099268862,0.02597663405,0.0339274,,,,,,,,,
30-Nov-09,0.003128160847,0.0009925978624,-0.003902917869,0.003828623519,0.005955364988,-0.01267953176,-0.03853927404,-0.0204008,,,,,,,,,
31-Dec-09,0.0279305277,0.01196366565,0.004741951927,0.01567986439,0.006134300445,0.01771540858,0.03309860158,-0.0590267,,,,,,,,,
31-Jan-10,-0.01464076634,0.002688846304,-0.007649286819,-0.00254813137,0.006122924362,-0.01296849372,-0.03105224338,0.0259187,,,,,,,,,
28-Feb-10,0.01410091429,0.02017230511,0.00357850047,0.0575167695,0.005500926503,0.0244177751,0.03660009262,0.0184049,,,,,,,,,
31-Mar-10,0.04991520194,0.02105831004,0.003914650748,0.04149066919,0.006082310021,0.006997401651,0.01032094277,-0.0581227,,,,,,,,,
30-Apr-10,0.008519015429,0.01261583191,0.02039245362,0.018528566,0.005793205087,0.01319068416,0.03431443113,-0.0016981,,,,,,,,,
31-May-10,-0.02828157023,-0.004170803741,0.01707155105,-0.02222666134,0.005860689538,-0.06031495738,-0.05304010342,0.034166,,,,,,,,,
30-Jun-10,-0.01857970798,0.002743492936,0.01303223822,0.01058280329,0.005584580773,-0.03320760019,-0.02331622348,0.0139603,,,,,,,,,
31-Jul-10,0.06675255507,0.04122663407,0.007282502534,0.06675382086,0.00569942017,0.02779008643,0.04045099566,-0.0125065,,,,,,,,,
31-Aug-10,-0.006148108684,0.02987135428,0.04019184886,0.02918472287,0.005631888278,-0.02611741315,0.002439864913,0.0295663,,,,,,,,,
30-Sep-10,0.0556672537,0.007571641192,-0.001322764323,0.03534206553,0.005353471283,0.03238996749,0.02228938445,-0.0319383,,,,,,,,,
31-Oct-10,0.01829234074,0.01041923118,-0.01217575971,0.01377756699,0.005381289483,0.04152429525,0.04404596579,0.0114171,,,,,,,,,
30-Nov-10,-0.01237131116,-0.01991002202,0.01785805517,-0.004888774532,0.005083652749,-0.00591259445,-0.02936155664,-0.0292997,,,,,,,,,
31-Dec-10,0.04547921647,0.01733419753,0.00341890166,0.02233087302,0.005072777311,0.002091228257,-0.01403198041,-0.0507831,,,,,,,,,
31-Jan-11,-0.02825932849,-0.02136182741,-0.004289141511,-0.04185827279,0.004935458014,0.1087930677,0.09960450009,0.0851081,,,,,,,,,
28-Feb-11,0.01239796022,0.0008977381161,0.0103170315,-0.01202260538,0.004372056792,0.004630013975,-0.004272755998,-0.0298588,,,,,,,,,
31-Mar-11,0.01255539914,0.004891551308,0.005846609782,0.03351914599,0.004787062677,-0.03918523584,-0.04521969163,-0.0230465,,,,,,,,,
30-Apr-11,0.02459804389,0.02260381262,0.00868087311,0.03713234862,0.004599021577,0.01280628209,0.01650166868,0.0060647,,,,,,,,,
31-May-11,0.0009749459474,0.01436713507,0.01979221701,0.0009970428615,0.004733046541,0.01676560197,0.03734133171,0.0352033,,,,,,,,,
30-Jun-11,-0.008541257372,0.001587034752,0.008971867308,0.01170358465,0.00457277205,-0.02116799946,-0.03453842775,-0.0050446,,,,,,,,,
31-Jul-11,-0.002998593487,0.01463049675,0.008937338604,0.01599856796,0.00471995881,-0.02867545462,-0.005127433997,0.0126284,,,,,,,,,
31-Aug-11,0.01687365552,0.03491192114,0.03393212395,0.02756213317,0.004713232347,-0.02721264949,-0.02309738134,0.0645209,,,,,,,,,
30-Sep-11,-0.02827162588,-0.02094164244,-0.01224881449,-0.02113249603,0.004545064944,0.05756075093,0.009875524328,0.1262875,,,,,,,,,
31-Oct-11,0.0569672478,0.02751036966,-0.001246034059,0.02554081275,0.004683288771,0.08427018448,0.1043306303,-0.0123884,,,,,,,,,
30-Nov-11,0.01178582443,0.0001346500311,0.02525123023,-0.009383306468,0.004520547737,-0.003213024533,-0.03883606998,0.0101513,,,,,,,,,
31-Dec-11,-0.005358237352,0.007235118463,0.02028982563,0.02102416,0.00467156849,-0.006250201987,-0.001659471657,0.0054525,,,,,,,,,
31-Jan-12,0.03541259653,0.02061646216,0.00909109211,0.04749390495,0.004680035321,0.0142306897,0.03893407628,-0.0197529,,,,,,,,,
29-Feb-12,0.01753997228,0.001754928205,0.006221345461,0.01012604661,0.004375029579,0.006508022897,-0.009952832247,-0.053781,,,,,,,,,
31-Mar-12,0.0006192955046,0.001200150607,0.01154107027,0.0209567698,0.004685437336,0.03923159595,0.03342439267,0.0196717,,,,,,,,,
30-Apr-12,0.02355963659,0.0180851425,0.01524153175,0.02613453178,0.004543358251,0.00275686992,0.03363209248,0.0248164,,,,,,,,,
31-May-12,-0.0187235559,-0.0001359546066,-0.008621490757,0.005541273922,0.00469955702,0.00116065368,0.02065148001,0.0978918,,,,,,,,,
30-Jun-12,0.02665849064,0.03340063574,0.008856545956,0.0690641215,0.004545541718,0.006764029151,0.01504434534,-0.0441071,,,,,,,,,
31-Jul-12,0.03498722371,0.03958024042,0.04783705685,0.08595645936,0.004677702584,0.02814457692,0.04986996788,0.0140979,,,,,,,,,
31-Aug-12,0.01653945246,0.0007116502884,0.008028190171,0.05647943496,0.004568220736,0.04164329474,0.01403067038,0.033649,,,,,,,,,
30-Sep-12,0.01092353723,0.009345103009,0.02681347593,-0.03270133399,0.004328459466,0.01784571727,0.003109042868,-0.0087611,,,,,,,,,
31-Oct-12,0.01731035928,-0.006014767389,0.01370238116,-0.04083798883,0.004388764011,0.0370252297,0.0509263973,0.0476234,,,,,,,,,
30-Nov-12,0.01636185074,0.008836506785,0.01053017876,0.06742218117,0.004205506538,0.04013870838,0.03314743781,0.0194553,,,,,,,,,
31-Dec-12,0.03520735491,0.02303303232,0.03019937014,0.003585738116,0.004319686228,-0.0379145628,-0.0237492422,-0.0536511,,,,,,,,,
31-Jan-13,0.009303094248,0.0006614442532,-0.004294827599,0.009872151368,0.004295385812,0.1215875559,0.09877883618,0.0395851,,,,,,,,,
28-Feb-13,-0.004012070484,0.00661928298,0.006987955261,0.04644008091,0.003870069622,0.009723325141,0.01254588769,-0.0078039,,,,,,,,,
31-Mar-13,0.008281513025,0.002395552098,0.0156588007,0.03279556062,0.004280741451,0.04732778342,0.04347147528,0.019282,,,,,,,,,
30-Apr-13,0.006148452019,0.04053347698,0.0232814076,0.07372061743,0.004143837128,0.003540461019,0.03851402568,-0.0104975,,,,,,,,,
31-May-13,0.02164516226,-0.04639750803,-0.01650278832,-0.1109189003,0.004277260148,0.1239419731,0.03223792288,0.0814448,,,,,,,,,
30-Jun-13,-0.03005008081,-0.01521000014,-0.05469262142,0.04383447268,0.004139277223,-0.04433326206,-0.05123083779,-0.0188939,,,,,,,,,
31-Jul-13,0.01692038361,-0.006619917683,0.01859492947,-0.04187943237,0.004288218802,0.0511881352,0.00878651323,0.0116187,,,,,,,,,
31-Aug-13,0.006984114246,-0.01301767356,-0.03461162192,-0.03471306007,0.004302203677,0.02032100069,-0.005566798614,0.0288715,,,,,,,,,
30-Sep-13,0.04902502629,0.03902013666,0.02910442099,0.06706563707,0.00418073384,0.02562681572,0.0292515462,0.0020861,,,,,,,,,
31-Oct-13,0.02636271793,0.003879755108,0.01348165753,0.03039403698,0.004331362487,0.04258499028,0.02975033813,0.0038375,,,,,,,,,
30-Nov-13,-0.01502765528,-0.0135061055,0.003682405147,-0.02963584647,0.004210171198,0.02772312033,-0.02750052339,0.0046998,,,,,,,,,
31-Dec-13,0.0254023766,0.01104450449,0.0106188319,0.01001988198,0.00437858865,0.04166309534,0.01678817656,0.0206854,,,,,,,,,
31-Jan-14,-0.03299177252,-0.03242576015,-0.03974806415,-0.07133587532,0.004406749356,0.03371793523,0.06895482147,0.0803549,,,,,,,,,
28-Feb-14,0.03917898757,0.02441893491,0.03146173451,0.04660217848,0.004066582849,0.0172148235,0.005546894167,-0.0244858,,,,,,,,,
31-Mar-14,0.02711910394,0.01788515701,0.0264550687,0.04755216605,0.004633900617,-0.01854612691,-0.02336292086,-0.0217516,,,,,,,,,
30-Apr-14,0.01043789352,0.003225454991,0.02447437282,0.0232461243,0.004587028225,0.008751966396,0.02578218255,0.0122373,,,,,,,,,
31-May-14,0.01836096711,0.01164534967,0.01912131938,-0.01263319641,0.004829254461,0.02625781701,0.03381346062,0.0085855,,,,,,,,,
30-Jun-14,0.02034639578,0.009516333204,0.013889796,0.03367465435,0.004734253306,0.0240222399,0.01375293683,0.0132507,,,,,,,,,
31-Jul-14,0.01225367716,0.01017322395,-0.001105174208,0.01914490838,0.004954092932,-0.009333284174,0.008321195249,-0.0021784,,,,,,,,,
31-Aug-14,0.01499760562,0.02841615622,0.01013752473,0.02964525022,0.005028093133,0.0184420705,0.009105123462,-0.003051,,,,,,,,,
30-Sep-14,-0.02099494173,-0.01611114665,0.001143386065,0.0217702366,0.004924659522,0.03007745944,-0.01047939339,0.027223,,,,,,,,,
31-Oct-14,0.03059403589,0.03410891357,0.01429190265,0.06837869537,0.005148550864,-0.01644383377,0.04018226046,-0.024675,,,,,,,,,
30-Nov-14,0.01329142571,0.0239796945,0.009271721749,0.02830858582,0.005022310029,0.02208589996,0.007570180063,-0.0059279,,,,,,,,,
31-Dec-14,-0.004513012485,-0.01551725197,-0.001311608462,0.01111858046,0.00521885913,0.02112178437,0.03793408373,0.0403843,,,,,,,,,
31-Jan-15,0.0499230288,0.06489982785,-0.0002585961719,0.07375861404,0.005249535899,-0.002530591971,0.06436355104,0.0025016,,,,,,,,,
28-Feb-15,0.004293990645,-0.02767739127,-0.003074333773,0.03161976188,0.004754378907,0.0614812056,-0.005488556036,-0.0095087,,,,,,,,,
